year,state,candidate1,candidate2
2020,Washington,12,0
2020,Oregon,7,0
2020,California,55,0
2020,Montana,0,3
2020,Idaho,0,4
2020,Nevada,6,0
2020,Arizona,11,0
2020,Wyoming,0,3
2020,Utah,0,6
2020,Colorado,9,0
2020,New Mexico,5,0
2020,North Dakota,0,3
2020,South Dakota,0,3
2020,Nebraska,1,4
2020,Kansas,0,6
2020,Oklahoma,0,7
2020,Texas,0,38
2020,Minnesota,10,0
2020,Iowa,0,6
2020,Missouri,0,10
2020,Arkansas,0,6
2020,Louisiana,0,8
2020,Wisconsia,10,0
2020,Illinois,20,0
2020,Michigan,16,0
2020,Indiana,0,11
2020,Kentucky,0,8
2020,Tennessee,0,11
2020,Mississippi,0,6
2020,Alabama,0,9
2020,Ohio,18,0
2020,West Virginia,0,5
2020,Virginia,13,0
2020,North Carolina,0,15
2020,South Carolina,0,9
2020,Georgia,16,0
2020,Florida,0,29
2020,Pennsyivania,20,0
2020,New York,29,0
2020,Vermont,3,0
2020,New Hampshire,4,0
2020,Maine,3,1
2020,Massachusetts,11,0
2020,Rhode Island,4,0
2020,Connecticut,7,0
2020,New Jersey,14,0
2020,Delaware,3,0
2020,Maryland,10,0
2020,Washington DC,3,0
2020,Alaska,0,3
2020,Hawaii,4,0
