year,state,candidate1,candidate2
2004,Washington,11,0
2004,Oregon,7,0
2004,California,55,0
2004,Montana,0,3
2004,Idaho,0,4
2004,Nevada,0,5
2004,Arizona,0,10
2004,Wyoming,0,3
2004,Utah,0,5
2004,Colorado,0,9
2004,New Mexico,0,5
2004,North Dakota,0,3
2004,South Dakota,0,3
2004,Nebraska,0,5
2004,Kansas,0,6
2004,Oklahoma,0,7
2004,Texas,0,34
2004,Minnesota,9,0
2004,Iowa,0,7
2004,Missouri,0,11
2004,Arkansas,0,6
2004,Louisiana,0,9
2004,Wisconsia,10,0
2004,Illinois,21,0
2004,Michigan,17,0
2004,Indiana,0,11
2004,Kentucky,0,8
2004,Tennessee,0,11
2004,Mississippi,0,6
2004,Alabama,0,9
2004,Ohio,0,20
2004,West Virginia,0,5
2004,Virginia,0,13
2004,North Carolina,0,15
2004,South Carolina,0,8
2004,Georgia,0,15
2004,Florida,0,27
2004,Pennsyivania,21,0
2004,New York,31,0
2004,Vermont,3,0
2004,New Hampshire,4,0
2004,Maine,4,0
2004,Massachusetts,12,0
2004,Rhode Island,4,0
2004,Connecticut,7,0
2004,New Jersey,15,0
2004,Delaware,3,0
2004,Maryland,10,0
2004,Washington DC,3,0
2004,Alaska,0,3
2004,Hawaii,4,0
