year,state,candidate1,candidate2
2016,Washington,8,0
2016,Oregon,7,0
2016,California,55,0
2016,Montana,0,3
2016,Idaho,0,4
2016,Nevada,6,0
2016,Arizona,0,11
2016,Wyoming,0,3
2016,Utah,0,6
2016,Colorado,9,0
2016,New Mexico,5,0
2016,North Dakota,0,3
2016,South Dakota,0,3
2016,Nebraska,0,5
2016,Kansas,0,6
2016,Oklahoma,0,7
2016,Texas,0,36
2016,Minnesota,10,0
2016,Iowa,0,6
2016,Missouri,0,10
2016,Arkansas,0,6
2016,Louisiana,0,8
2016,Wisconsia,0,10
2016,Illinois,20,0
2016,Michigan,16,0
2016,Indiana,0,11
2016,Kentucky,0,8
2016,Tennessee,0,11
2016,Mississippi,0,6
2016,Alabama,0,9
2016,Ohio,0,18
2016,West Virginia,0,5
2016,Virginia,13,0
2016,North Carolina,0,15
2016,South Carolina,0,9
2016,Georgia,0,16
2016,Florida,0,29
2016,Pennsyivania,0,20
2016,New York,29,0
2016,Vermont,3,0
2016,New Hampshire,4,0
2016,Maine,3,1
2016,Massachusetts,11,0
2016,Rhode Island,4,0
2016,Connecticut,7,0
2016,New Jersey,14,0
2016,Delaware,3,0
2016,Maryland,10,0
2016,Washington DC,3,0
2016,Alaska,0,3
2016,Hawaii,3,0
