year,state,candidate1,candidate2
2012,Washington,12,0
2012,Oregon,7,0
2012,California,55,0
2012,Montana,0,3
2012,Idaho,0,4
2012,Nevada,6,0
2012,Arizona,0,11
2012,Wyoming,0,3
2012,Utah,0,6
2012,Colorado,9,0
2012,New Mexico,5,0
2012,North Dakota,0,3
2012,South Dakota,0,3
2012,Nebraska,0,5
2012,Kansas,0,6
2012,Oklahoma,0,7
2012,Texas,0,38
2012,Minnesota,10,0
2012,Iowa,6,0
2012,Missouri,0,10
2012,Arkansas,0,6
2012,Louisiana,0,8
2012,Wisconsia,10,0
2012,Illinois,20,0
2012,Michigan,16,0
2012,Indiana,0,11
2012,Kentucky,0,8
2012,Tennessee,0,11
2012,Mississippi,0,6
2012,Alabama,0,9
2012,Ohio,18,0
2012,West Virginia,0,5
2012,Virginia,13,0
2012,North Carolina,0,15
2012,South Carolina,0,9
2012,Georgia,0,16
2012,Florida,29,0
2012,Pennsyivania,20,0
2012,New York,29,0
2012,Vermont,3,0
2012,New Hampshire,4,0
2012,Maine,4,0
2012,Massachusetts,11,0
2012,Rhode Island,4,0
2012,Connecticut,7,0
2012,New Jersey,14,0
2012,Delaware,3,0
2012,Maryland,10,0
2012,Washington DC,3,0
2012,Alaska,0,3
2012,Hawaii,4,0
