year,state,candidate1,candidate2
2000,Washington,11,0
2000,Oregon,7,0
2000,California,54,0
2000,Montana,0,3
2000,Idaho,0,4
2000,Nevada,0,4
2000,Arizona,0,8
2000,Wyoming,0,3
2000,Utah,0,5
2000,Colorado,0,8
2000,New Mexico,5,0
2000,North Dakota,0,3
2000,South Dakota,0,3
2000,Nebraska,0,5
2000,Kansas,0,6
2000,Oklahoma,0,8
2000,Texas,0,32
2000,Minnesota,10,0
2000,Iowa,7,0
2000,Missouri,0,11
2000,Arkansas,0,6
2000,Louisiana,0,9
2000,Wisconsia,11,0
2000,Illinois,22,0
2000,Michigan,18,0
2000,Indiana,0,12
2000,Kentucky,0,8
2000,Tennessee,0,11
2000,Mississippi,0,7
2000,Alabama,0,9
2000,Ohio,0,21
2000,West Virginia,0,5
2000,Virginia,0,13
2000,North Carolina,0,14
2000,South Carolina,0,8
2000,Georgia,0,13
2000,Florida,0,25
2000,Pennsyivania,23,0
2000,New York,33,0
2000,Vermont,3,0
2000,New Hampshire,0,4
2000,Maine,4,0
2000,Massachusetts,12,0
2000,Rhode Island,4,0
2000,Connecticut,8,0
2000,New Jersey,15,0
2000,Delaware,3,0
2000,Maryland,10,0
2000,Washington DC,2,0
2000,Alaska,0,3
2000,Hawaii,4,0
